,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tên vật tư,Mã,Mã vật tư tính giá,Đvt,Đvt hộp,Hệ số hộp,Đvt M2,Hế số M2,Loại vật tư,Mã nhóm mẹ,Hãng sản xuất,Nhóm hàng,Sản phẩm,Thuế TTĐB,Đơn vị cơ sở,Quy cách,Quy cách Code,Id,Ngày tạo mới
Gạch 30x60 MS 1073 Loại 1,05.L1.3060.1073.G,05.L1.3060.1073,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16524,3/18/2019
Gạch 30x60 MS 1073 Loại 1,05.L1.3060.1073.M,05.L1.3060.1073,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16525,7/22/2019
Gạch 30x60 MS 1081 Loại 1,05.L1.3060.1081.G,05.L1.3060.1081,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16526,3/7/2019
Gạch 30x60 MS 1081 Loại 1,05.L1.3060.1081.M,05.L1.3060.1081,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16527,6/13/2019
Gạch 30x60 MS 1082 Loại 1,05.L1.3060.1082.G,05.L1.3060.1082,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16528,3/7/2019
Gạch 30x60 MS 1082 Loại 1,05.L1.3060.1082.M,05.L1.3060.1082,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16529,6/13/2019
Gạch 30x60 MS 1083 Loại 1,05.L1.3060.1083.G,05.L1.3060.1083,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16530,3/5/2019
Gạch 30x60 MS 1083 Loại 1,05.L1.3060.1083.M,05.L1.3060.1083,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16531,6/13/2019
Gạch 30x60 MS 1091 Loại 1,05.L1.3060.1091.G,05.L1.3060.1091,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16532,3/18/2019
Gạch 30x60 MS 1092 Loại 1,05.L1.3060.1092.G,05.L1.3060.1092,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16533,3/18/2019
Gạch 30x60 MS 1093 Loại 1,05.L1.3060.1093.G,05.L1.3060.1093,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16534,3/18/2019
Gạch 30x60 MS 1101 Loại 1,05.L1.3060.1101.G,05.L1.3060.1101,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16535,3/18/2019
Gạch 30x60 MS 1101 Loại 1,05.L1.3060.1101.I,05.L1.3060.1101,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16536,4/29/2020
Gạch 30x60 MS 1101 Loại 1,05.L1.3060.1101.M,05.L1.3060.1101,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16537,5/9/2019
Gạch 30x60 MS 1102 Loại 1,05.L1.3060.1102.G,05.L1.3060.1102,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16538,3/18/2019
Gạch 30x60 MS 1102 Loại 1,05.L1.3060.1102.M,05.L1.3060.1102,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16539,5/9/2019
Gạch 30x60 MS 1111 Loại 1,05.L1.3060.1111.E,05.L1.3060.1111,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16540,1/13/2021
Gạch 30x60 MS 1111 Loại 1,05.L1.3060.1111.F,05.L1.3060.1111,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16541,7/8/2019
Gạch 30x60 MS 1111 Loại 1,05.L1.3060.1111.G,05.L1.3060.1111,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16542,3/18/2019
Gạch 30x60 MS 1111 Loại 1,05.L1.3060.1111.H,05.L1.3060.1111,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16543,7/22/2019
Gạch 30x60 MS 1111 Loại 1,05.L1.3060.1111.I,05.L1.3060.1111,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16544,2/20/2020
Gạch 30x60 MS 1111 Loại 1,05.L1.3060.1111.M,05.L1.3060.1111,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16545,5/9/2019
Gạch 30x60 MS 1111 Loại 1,05.L1.3060.1111.N,05.L1.3060.1111,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16546,4/24/2020
Gạch 30x60 MS 1112 Loại 1,05.L1.3060.1112.E,05.L1.3060.1112,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16547,6/19/2020
Gạch 30x60 MS 1112 Loại 1,05.L1.3060.1112.G,05.L1.3060.1112,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16548,3/18/2019
Gạch 30x60 MS 1112 Loại 1,05.L1.3060.1112.H,05.L1.3060.1112,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16549,7/22/2019
Gạch 30x60 MS 1112 Loại 1,05.L1.3060.1112.I,05.L1.3060.1112,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16550,3/27/2020
Gạch 30x60 MS 1112 Loại 1,05.L1.3060.1112.M,05.L1.3060.1112,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16551,5/9/2019
Gạch 30x60 MS 1114 Loại 1,05.L1.3060.1114.E,05.L1.3060.1114,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16552,1/13/2021
Gạch 30x60 MS 1114 Loại 1,05.L1.3060.1114.G,05.L1.3060.1114,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16553,3/18/2019
Gạch 30x60 MS 1114 Loại 1,05.L1.3060.1114.H,05.L1.3060.1114,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16554,7/22/2019
Gạch 30x60 MS 1114 Loại 1,05.L1.3060.1114.I,05.L1.3060.1114,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16555,3/24/2020
Gạch 30x60 MS 1114 Loại 1,05.L1.3060.1114.M,05.L1.3060.1114,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16556,5/9/2019
Gạch 30x60 MS 1611 Loại 1,05.L1.3060.1611.G,05.L1.3060.1611,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16557,2/5/2020
Gạch 30x60 MS 1612 Loại 1,05.L1.3060.1612.G,05.L1.3060.1612,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16558,2/5/2020
Gạch 30x60 MS 1614 Loại 1,05.L1.3060.1614.G,05.L1.3060.1614,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16559,2/5/2020
Gạch 30x60 MS 1621 Loại 1,05.L1.3060.1621.F,05.L1.3060.1621,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16560,7/9/2020
Gạch 30x60 MS 1621 Loại 1,05.L1.3060.1621.G,05.L1.3060.1621,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16561,2/5/2020
Gạch 30x60 MS 1621 Loại 1,05.L1.3060.1621.M,05.L1.3060.1621,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16562,4/16/2020
Gạch 30x60 MS 1622 Loại 1,05.L1.3060.1622.G,05.L1.3060.1622,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16563,2/5/2020
Gạch 30x60 MS 1622 Loại 1,05.L1.3060.1622.M,05.L1.3060.1622,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16564,4/16/2020
Gạch 30x60 MS 1624 Loại 1,05.L1.3060.1624.F,05.L1.3060.1624,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16565,8/14/2020
Gạch 30x60 MS 1624 Loại 1,05.L1.3060.1624.G,05.L1.3060.1624,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16566,2/5/2020
Gạch 30x60 MS 1624 Loại 1,05.L1.3060.1624.M,05.L1.3060.1624,Viên,hộp,8.00,M2,5.56,Vật tư hàng hóa,05.30X60,NCC0066B,GACH,,0%,,gạch quy cách 30x60,3060,16567,4/16/2020
Gạch 50x50 MS 5061 loại 1,05.L1.5050.5061.D,05.L1.5050.5061,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16568,11/1/2017
Gạch 50x50 MS 5061 loại 1,05.L1.5050.5061.L,05.L1.5050.5061,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16569,3/7/2019
Gạch 50x50 MS 5061 loại 1,05.L1.5050.5061.M,05.L1.5050.5061,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16570,12/15/2017
Gạch 50x50 MS 5062 loại 1,05.L1.5050.5062.L,05.L1.5050.5062,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16571,3/7/2019
Gạch 50x50 MS 5062 loại 1,05.L1.5050.5062.M,05.L1.5050.5062,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16572,11/1/2017
Gạch 50x50 MS 5063 loại 1,05.L1.5050.5063.L,05.L1.5050.5063,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16573,3/7/2019
Gạch 50x50 MS 5063 loại 1,05.L1.5050.5063.M,05.L1.5050.5063,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16574,11/1/2017
Gạch 50x50 MS 5064 loại 1,05.L1.5050.5064.L,05.L1.5050.5064,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16575,3/7/2019
Gạch 50x50 MS 5064 loại 1,05.L1.5050.5064.M,05.L1.5050.5064,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16576,11/1/2017
Gạch 50x50 MS 5065 loại 1,05.L1.5050.5065.L,05.L1.5050.5065,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16577,3/7/2019
Gạch 50x50 MS 5065 loại 1,05.L1.5050.5065.M,05.L1.5050.5065,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16578,11/1/2017
Gạch 50x50 MS 5153 loại 1,05.L1.5050.5153.L,05.L1.5050.5153,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16579,3/25/2019
Gạch 50x50 MS 5156 loại 1,05.L1.5050.5156.L,05.L1.5050.5156,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16580,3/25/2019
Gạch 50x50 MS 5157 loại 1,05.L1.5050.5157.L,05.L1.5050.5157,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16581,3/25/2019
Gạch mài cạnh 50x50 MS 5251 loại 1,05.L1.5050.5251,,Hộp,, ,, ,Vật tư hàng hóa,DIEUPHOI,,GACH,,0%,,,,16582,5/26/2017
Gạch 50x50 MS 5251 loại 1,05.L1.5050.5251.D1,05.L1.5050.5251,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16583,6/21/2017
Gạch 50x50 MS 5251 loại 1,05.L1.5050.5251.K1,05.L1.5050.5251,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16584,7/28/2017
Gạch 50x50 MS 5251 loại 1,05.L1.5050.5251.L1,05.L1.5050.5251,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16585,5/27/2017
Gạch 50x50 MS 5251 loại 1,05.L1.5050.5251.M1,05.L1.5050.5251,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16586,5/6/2017
Gạch 50x50 MS 5251 loại 1,05.L1.5050.5251.N1,05.L1.5050.5251,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16587,5/26/2017
Gạch 50x50 MS 5251 loại 1,05.L1.5050.5251.P1,05.L1.5050.5251,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16588,5/17/2017
Gạch mài cạnh 50x50 MS 5252 loại 1,05.L1.5050.5252,,Hộp,, ,, ,Vật tư hàng hóa,DIEUPHOI,,GACH,,0%,,,,16589,5/26/2017
Gạch 50x50 MS 5252 loại 1,05.L1.5050.5252.M1,05.L1.5050.5252,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16590,5/6/2017
Gạch 50x50 MS 5252 loại 1,05.L1.5050.5252.N1,05.L1.5050.5252,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16591,6/21/2017
Gạch 50x50 MS 5252 loại 1,05.L1.5050.5252.P1,05.L1.5050.5252,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16592,5/17/2017
Gạch mài cạnh 50x50 MS 5254 loại 1,05.L1.5050.5254,,Hộp,, ,, ,Vật tư hàng hóa,DIEUPHOI,,GACH,,0%,,,,16593,5/26/2017
Gạch 50x50 MS 5254 loại 1,05.L1.5050.5254.M1,05.L1.5050.5254,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16594,5/17/2017
Gạch 50x50 MS 5254 loại 1,05.L1.5050.5254.N,05.L1.5050.5254,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16595,8/11/2017
Gạch 50x50 MS 5254 loại 1,05.L1.5050.5254.P1,05.L1.5050.5254,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16596,5/19/2017
Gạch 50x50 MS 5257 loại 1,05.L1.5050.5257.M,05.L1.5050.5257,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16597,10/13/2017
Gạch 50x50 MS 5258 loại 1,05.L1.5050.5258.L,05.L1.5050.5258,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16598,10/5/2018
Gạch 50x50 MS 5258 loại 1,05.L1.5050.5258.M,05.L1.5050.5258,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16599,10/13/2017
Gạch 50x50 MS 5258 loại 1,05.L1.5050.5258.N,05.L1.5050.5258,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16600,1/2/2018
Gạch 50x50 MS 5258 loại 1,05.L1.5050.5258.P,05.L1.5050.5258,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16601,5/7/2019
Gạch 50x50 MS 5263 loại 1,05.L1.5050.5263.D,05.L1.5050.5263,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16602,6/29/2018
Gạch 50x50 MS 5263 loại 1,05.L1.5050.5263.M,05.L1.5050.5263,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16603,11/25/2017
Gạch 50x50 MS 5263 loại 1,05.L1.5050.5263.P,05.L1.5050.5263,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16604,5/9/2019
Gạch 50x50 MS 5264 loại 1,05.L1.5050.5264.D,05.L1.5050.5264,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16605,6/29/2018
Gạch 50x50 MS 5264 loại 1,05.L1.5050.5264.M,05.L1.5050.5264,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16606,10/13/2017
Gạch 50x50 MS 5264 loại 1,05.L1.5050.5264.P,05.L1.5050.5264,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16607,5/6/2019
Gạch 50x50 MS 5265 loại 1,05.L1.5050.5265.L,05.L1.5050.5265,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16608,10/5/2018
Gạch 50x50 MS 5265 loại 1,05.L1.5050.5265.M,05.L1.5050.5265,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16609,10/13/2017
Gạch 50x50 MS 5265 loại 1,05.L1.5050.5265.N,05.L1.5050.5265,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16610,5/11/2019
Gạch 50x50 MS 5267 loại 1,05.L1.5050.5267.D,05.L1.5050.5267,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16611,5/15/2019
Gạch 50x50 MS 5267 loại 1,05.L1.5050.5267.L,05.L1.5050.5267,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16612,10/5/2018
Gạch 50x50 MS 5267 loại 1,05.L1.5050.5267.M,05.L1.5050.5267,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16613,11/25/2017
Gạch 50x50 MS 5811 loại 1,05.L1.5050.5811.L,05.L1.5050.5811,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16614,3/25/2019
Gạch 50x50 MS 5813 loại 1,05.L1.5050.5813.L,05.L1.5050.5813,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16615,3/25/2019
Gạch 50x50 MS 5972 loại 1,05.L1.5050.5972.D,05.L1.5050.5972,Viên,Hộp,4.00,M2,4.00,Vật tư hàng hóa,05.50X50,NCC0066,GACH,,0%,,gạch quy cách 50x50,5050,16616,3/25/2019
Gạch 60x60 MS 6711 loại 1,05.L1.6060.6711.G,05.L1.6060.6711,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16617,12/24/2019
Gạch 60x60 MS 6712 loại 1,05.L1.6060.6712.F,05.L1.6060.6712,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16618,3/16/2021
Gạch 60x60 MS 6712 loại 1,05.L1.6060.6712.G,05.L1.6060.6712,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16619,12/24/2019
Gạch 60x60 MS 6713 loại 1,05.L1.6060.6713.G,05.L1.6060.6713,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16620,12/24/2019
Gạch 60x60 MS 6714 loại 1,05.L1.6060.6714.G,05.L1.6060.6714,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16621,12/24/2019
Gạch 60x60 MS 6721 loại 1,05.L1.6060.6721.G,05.L1.6060.6721,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16622,12/26/2019
Gạch 60x60 MS 6722 loại 1,05.L1.6060.6722.F,05.L1.6060.6722,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16623,3/15/2021
Gạch 60x60 MS 6722 loại 1,05.L1.6060.6722.G,05.L1.6060.6722,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16624,12/26/2019
Gạch 60x60 MS 6722 loại 1,05.L1.6060.6722.H,05.L1.6060.6722,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16625,12/26/2019
Gạch 60x60 MS 6722 loại 1,05.L1.6060.6722.I,05.L1.6060.6722,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16626,7/15/2020
Gạch 60x60 MS 6723 loại 1,05.L1.6060.6723.G,05.L1.6060.6723,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16627,12/31/2019
Gạch 60x60 MS 6724 loại 1,05.L1.6060.6724.G,05.L1.6060.6724,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16628,12/31/2019
Gạch 60x60 MS 6725 loại 1,05.L1.6060.6725.G,05.L1.6060.6725,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16629,3/5/2020
Gạch 60x60G MS 6761 loại 1,05.L1.6060.6761,,Hộp,, ,, ,Vật tư hàng hóa,DIEUPHOI,,GACH,,0%,,,,16630,5/26/2017
Gạch 60x60 MS 6761 loại 1,05.L1.6060.6761.0,05.L1.6060.6761,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16631,4/28/2017
Gạch 60x60 MS 6761 loại 1,05.L1.6060.6761.F,05.L1.6060.6761,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16632,6/27/2017
Gạch 60x60 MS 6761 loại 1,05.L1.6060.6761.G,05.L1.6060.6761,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16633,6/27/2017
Gạch 60x60G MS 6762 loại 1,05.L1.6060.6762,,Hộp,, ,, ,Vật tư hàng hóa,DIEUPHOI,,GACH,,0%,,,,16634,5/26/2017
Gạch 60x60 MS 6762 loại 1,05.L1.6060.6762.0,05.L1.6060.6762,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16635,4/28/2017
Gạch 60x60 MS 6762 loại 1,05.L1.6060.6762.D,05.L1.6060.6762,Viên,Hộp,4.00,M2,2.78,Vật tư hàng hóa,05.60X60,NCC0073,GACH,,0%,,gạch quy cách 60x60,6060,16636,3/6/2018
