,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tên vật tư,Mã,Mã vật tư tính giá,Đvt,Đvt hộp,Hệ số hộp,Đvt M2,Hế số M2,Loại vật tư,Mã nhóm mẹ,Hãng sản xuất,Nhóm hàng,Sản phẩm,Thuế TTĐB,Đơn vị cơ sở,Quy cách,Quy cách Code,Id,Ngày tạo mới
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT5,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13387,10/14/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT6,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13388,10/14/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT7,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13389,12/2/2017
Gạch 25x40 MS 2401V loại 1,01.L1.2540.2401V.CT8,01.L1.2540.2401V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13390,12/2/2017
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.0,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13391,4/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.4,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13392,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.5,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13393,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.6,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13394,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.7,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13395,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.8,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13396,8/12/2017
Gạch 25x40 MS 2402T loại 1,01.L1.2540.2402T.9,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13397,1/23/2018
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT10,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13398,2/5/2018
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT2,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13399,12/8/2017
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT3,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13400,11/4/2017
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT4,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13401,10/19/2017
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT5,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13402,10/19/2017
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT6,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13403,10/19/2017
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT8,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13404,2/9/2018
Gạch 25x40 MS 2402T Loại 1,01.L1.2540.2402T.CT9,01.L1.2540.2402T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13405,1/23/2018
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.0,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13406,4/12/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.2,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13407,3/23/2018
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.3,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13408,8/19/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.4,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13409,8/12/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.5,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13410,8/12/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.6,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13411,8/12/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.7,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13412,8/12/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.8,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13413,8/12/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.9,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13414,1/23/2018
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.CT10,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13415,2/5/2018
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.CT2,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13416,12/8/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.CT3,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13417,11/4/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.CT4,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13418,10/19/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.CT5,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13419,10/19/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.CT6,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13420,10/19/2017
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.CT8,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13421,2/9/2018
Gạch 25x40 MS 2402V loại 1,01.L1.2540.2402V.CT9,01.L1.2540.2402V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13422,1/23/2018
Gạch 25x40 MS 2403T Loại 1,01.L1.2540.2403T.0,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13423,4/12/2017
Gạch 25x40 MS 2403T Loại 1,01.L1.2540.2403T.2,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13424,8/27/2017
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.4,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13425,8/12/2017
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.5,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13426,8/12/2017
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.6,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13427,8/12/2017
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.7,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13428,8/12/2017
